,datadate,datatime,ticker,exchangecd,lastprice,volume,side
3899,20161121,14:17:57,300559,XSHE,91.39,100,B
3901,20161121,14:18:06,300559,XSHE,91.4,300,B
3902,20161121,14:18:09,300559,XSHE,91.4,100,B
3903,20161121,14:18:12,300559,XSHE,91.38,800,S
3904,20161121,14:18:15,300559,XSHE,91.39,500,B
3905,20161121,14:18:18,300559,XSHE,91.4,100,B
3906,20161121,14:18:21,300559,XSHE,91.4,2400,B
3908,20161121,14:18:27,300559,XSHE,91.36,500,S
3909,20161121,14:18:30,300559,XSHE,91.39,500,B
3910,20161121,14:18:33,300559,XSHE,91.39,100,B
3913,20161121,14:18:42,300559,XSHE,91.39,800,B
3914,20161121,14:18:45,300559,XSHE,91.39,1100,B
3915,20161121,14:18:48,300559,XSHE,91.4,4513,B
3917,20161121,14:18:54,300559,XSHE,91.39,600,S
3918,20161121,14:18:57,300559,XSHE,91.4,900,B
3919,20161121,14:19:00,300559,XSHE,91.39,1200,S
3920,20161121,14:19:03,300559,XSHE,91.4,800,B
3921,20161121,14:19:06,300559,XSHE,91.4,100,B
3922,20161121,14:19:09,300559,XSHE,91.4,1800,S
3923,20161121,14:19:12,300559,XSHE,91.4,700,S
3924,20161121,14:19:15,300559,XSHE,91.39,1900,S
3925,20161121,14:19:18,300559,XSHE,91.4,500,B
3926,20161121,14:19:24,300559,XSHE,91.39,400,S
3927,20161121,14:19:27,300559,XSHE,91.4,1200,B
3928,20161121,14:19:30,300559,XSHE,91.42,1300,B
3929,20161121,14:19:33,300559,XSHE,91.42,1304,S
3930,20161121,14:19:36,300559,XSHE,91.42,600,S
3931,20161121,14:19:39,300559,XSHE,91.42,500,S
3932,20161121,14:19:42,300559,XSHE,91.42,800,S
3934,20161121,14:19:48,300559,XSHE,91.42,800,S
3935,20161121,14:19:51,300559,XSHE,91.42,500,S
3936,20161121,14:19:54,300559,XSHE,91.43,200,B
3937,20161121,14:19:57,300559,XSHE,91.42,500,S
3938,20161121,14:20:00,300559,XSHE,91.43,400,B
3939,20161121,14:20:03,300559,XSHE,91.42,596,S
3940,20161121,14:20:06,300559,XSHE,91.44,200,B
3941,20161121,14:20:09,300559,XSHE,91.4,200,S
3944,20161121,14:20:21,300559,XSHE,91.4,100,B
3945,20161121,14:20:24,300559,XSHE,91.4,200,S
3946,20161121,14:20:27,300559,XSHE,91.4,800,B
3947,20161121,14:20:30,300559,XSHE,91.4,500,S
3948,20161121,14:20:33,300559,XSHE,91.4,800,B
3949,20161121,14:20:36,300559,XSHE,91.4,100,B
3950,20161121,14:20:39,300559,XSHE,91.39,500,S
3951,20161121,14:20:42,300559,XSHE,91.39,1700,S
3952,20161121,14:20:45,300559,XSHE,91.39,500,S
3953,20161121,14:20:48,300559,XSHE,91.4,1000,B
3954,20161121,14:20:51,300559,XSHE,91.4,500,S
3955,20161121,14:20:54,300559,XSHE,91.4,800,S
3956,20161121,14:20:57,300559,XSHE,91.4,500,S
3957,20161121,14:21:00,300559,XSHE,91.4,500,S
3959,20161121,14:21:06,300559,XSHE,91.41,600,B
3960,20161121,14:21:09,300559,XSHE,91.4,800,S
3961,20161121,14:21:12,300559,XSHE,91.41,1400,B
3962,20161121,14:21:15,300559,XSHE,91.4,200,S
3963,20161121,14:21:18,300559,XSHE,91.4,500,S
3964,20161121,14:21:21,300559,XSHE,91.4,2400,S
3965,20161121,14:21:24,300559,XSHE,91.4,600,S
3966,20161121,14:21:27,300559,XSHE,91.42,1400,B
3967,20161121,14:21:30,300559,XSHE,91.42,800,S
3968,20161121,14:21:33,300559,XSHE,91.4,1300,S
3969,20161121,14:21:36,300559,XSHE,91.4,100,B
3970,20161121,14:21:39,300559,XSHE,91.4,100,S
3971,20161121,14:21:42,300559,XSHE,91.42,1000,B
3973,20161121,14:21:48,300559,XSHE,91.4,200,S
3974,20161121,14:21:51,300559,XSHE,91.4,600,B
3975,20161121,14:21:54,300559,XSHE,91.4,1100,B
3977,20161121,14:22:00,300559,XSHE,91.39,100,S
3978,20161121,14:22:03,300559,XSHE,91.4,1354,B
3979,20161121,14:22:06,300559,XSHE,91.4,500,S
3980,20161121,14:22:09,300559,XSHE,91.42,1700,B
3981,20161121,14:22:12,300559,XSHE,91.4,100,S
3982,20161121,14:22:15,300559,XSHE,91.4,500,S
3983,20161121,14:22:18,300559,XSHE,91.4,700,S
3984,20161121,14:22:21,300559,XSHE,91.4,800,S
3985,20161121,14:22:24,300559,XSHE,91.4,100,S
3986,20161121,14:22:27,300559,XSHE,91.4,197,S
3987,20161121,14:22:30,300559,XSHE,91.4,1000,S
3988,20161121,14:22:33,300559,XSHE,91.4,1000,S
3989,20161121,14:22:36,300559,XSHE,91.4,500,S
3990,20161121,14:22:39,300559,XSHE,91.41,1500,B
3991,20161121,14:22:42,300559,XSHE,91.41,100,S
3993,20161121,14:22:51,300559,XSHE,91.41,100,S
3994,20161121,14:22:54,300559,XSHE,91.4,300,S
3995,20161121,14:22:57,300559,XSHE,91.41,200,B
3996,20161121,14:23:00,300559,XSHE,91.4,700,S
3998,20161121,14:23:06,300559,XSHE,91.41,100,B
3999,20161121,14:23:09,300559,XSHE,91.4,303,S
4000,20161121,14:23:12,300559,XSHE,91.4,300,B
4001,20161121,14:23:15,300559,XSHE,91.4,300,B
4003,20161121,14:23:21,300559,XSHE,91.39,500,S
4004,20161121,14:23:27,300559,XSHE,91.4,700,B
4005,20161121,14:23:30,300559,XSHE,91.39,1046,S
4006,20161121,14:23:33,300559,XSHE,91.39,400,B
4008,20161121,14:23:39,300559,XSHE,91.39,500,B
4011,20161121,14:23:48,300559,XSHE,91.38,500,S
4012,20161121,14:23:51,300559,XSHE,91.39,600,B
4013,20161121,14:23:54,300559,XSHE,91.37,1300,S
4014,20161121,14:23:57,300559,XSHE,91.37,800,B
4015,20161121,14:24:00,300559,XSHE,91.39,2100,B
4016,20161121,14:24:03,300559,XSHE,91.38,200,S
4017,20161121,14:24:06,300559,XSHE,91.39,3787,B
4018,20161121,14:24:09,300559,XSHE,91.37,100,S
4020,20161121,14:24:15,300559,XSHE,91.35,200,S
4021,20161121,14:24:18,300559,XSHE,91.36,200,B
4023,20161121,14:24:24,300559,XSHE,91.31,1200,S
4024,20161121,14:24:27,300559,XSHE,91.36,200,B
4027,20161121,14:24:36,300559,XSHE,91.35,100,S
4028,20161121,14:24:39,300559,XSHE,91.31,500,S
4029,20161121,14:24:42,300559,XSHE,91.31,300,S
4032,20161121,14:24:51,300559,XSHE,91.31,500,S
4033,20161121,14:24:54,300559,XSHE,91.31,400,S
4035,20161121,14:25:00,300559,XSHE,91.31,500,S
4036,20161121,14:25:03,300559,XSHE,91.31,900,B
4037,20161121,14:25:06,300559,XSHE,91.31,300,B
4038,20161121,14:25:09,300559,XSHE,91.3,1400,S
4039,20161121,14:25:12,300559,XSHE,91.31,200,B
4040,20161121,14:25:15,300559,XSHE,91.31,200,B
4041,20161121,14:25:18,300559,XSHE,91.31,200,B
4042,20161121,14:25:21,300559,XSHE,91.31,1800,B
4043,20161121,14:25:24,300559,XSHE,91.31,1200,S
4044,20161121,14:25:27,300559,XSHE,91.31,397,S
4045,20161121,14:25:30,300559,XSHE,91.3,1000,S
4046,20161121,14:25:33,300559,XSHE,91.32,1400,B
4047,20161121,14:25:36,300559,XSHE,91.31,1000,S
4050,20161121,14:25:45,300559,XSHE,91.3,800,S
4051,20161121,14:25:48,300559,XSHE,91.3,1800,S
4054,20161121,14:25:57,300559,XSHE,91.31,700,B
4055,20161121,14:26:00,300559,XSHE,91.31,600,B
4056,20161121,14:26:03,300559,XSHE,91.32,2500,B
4057,20161121,14:26:06,300559,XSHE,91.3,1500,S
4058,20161121,14:26:09,300559,XSHE,91.31,2100,B
4059,20161121,14:26:12,300559,XSHE,91.31,1000,S
4060,20161121,14:26:15,300559,XSHE,91.31,500,S
4062,20161121,14:26:21,300559,XSHE,91.32,200,B
4063,20161121,14:26:24,300559,XSHE,91.32,1600,S
4064,20161121,14:26:27,300559,XSHE,91.33,100,B
4065,20161121,14:26:30,300559,XSHE,91.33,1800,S
4066,20161121,14:26:33,300559,XSHE,91.33,900,S
4067,20161121,14:26:36,300559,XSHE,91.33,600,S
4068,20161121,14:26:39,300559,XSHE,91.33,500,S
4069,20161121,14:26:42,300559,XSHE,91.34,800,B
4070,20161121,14:26:45,300559,XSHE,91.33,1200,S
4071,20161121,14:26:48,300559,XSHE,91.34,100,B
4072,20161121,14:26:51,300559,XSHE,91.34,100,S
4074,20161121,14:26:57,300559,XSHE,91.34,600,S
4075,20161121,14:27:00,300559,XSHE,91.34,300,S
4076,20161121,14:27:03,300559,XSHE,91.35,600,B
4077,20161121,14:27:06,300559,XSHE,91.33,1400,S
4078,20161121,14:27:09,300559,XSHE,91.33,900,S
4079,20161121,14:27:12,300559,XSHE,91.35,2400,B
4080,20161121,14:27:15,300559,XSHE,91.33,1100,S
4081,20161121,14:27:18,300559,XSHE,91.34,700,B
4082,20161121,14:27:21,300559,XSHE,91.33,500,S
4083,20161121,14:27:24,300559,XSHE,91.34,1900,B
4084,20161121,14:27:27,300559,XSHE,91.35,700,B
4085,20161121,14:27:30,300559,XSHE,91.33,1500,S
